1,0.0000000054
1,0.0000000051
1,0.0000000065
1,0.0000000044
1,0.0000000048
1,0.0000000045
1,0.0000000042
1,0.0000000048
2,0.0000000598
2,0.0000000522
2,0.0000000602
2,0.0000000592
2,0.0000000569
3,0.0000002437
3,0.0000002260
3,0.0000002362
4,0.0000005616
4,0.0000005722
4,0.0000005844
5,0.0000012099
5,0.0000011887
6,0.0000018102
6,0.0000016259
7,0.0000028216
8,0.0000040517
8,0.0000043483
9,0.0000062360
10,0.0000095128
11,0.0000114769
12,0.0000153840
13,0.0000180906
14,0.0000243247
16,0.0000400715
17,0.0000377767
19,0.0000514943
20,0.0000683860
22,0.0000865112
24,0.0001051213
26,0.0001426751
29,0.0001913256
32,0.0002875058
34,0.0003051285
38,0.0004346936
41,0.0005442804
45,0.0007014911
49,0.0010251019
53,0.0012280063
58,0.0016934492
64,0.0020862005
69,0.0027503521
76,0.0031500031
82,0.0035116997
90,0.0046931443
98,0.0081784715
107,0.0083872862
117,0.0115189820
128,0.0190747343
139,0.0185188080
152,0.0249379696
165,0.0328195935
181,0.0387405693
197,0.0508121822
215,0.0742819229
234,0.0777197828
256,0.1125915606
279,0.1304913186
304,0.1583694332
331,0.1888342444
362,0.2387355070
394,0.2557542415
430,0.3165042259
469,0.4105311260
512,0.5243249028
558,0.5828114282
608,0.6143411728
663,0.6469807857
724,0.9105040736
789,0.9376811718
861,1.0619575012
939,1.2155576995
1024,1.4132319602
1116,1.4260724553
1217,1.4432986598
1327,1.4319563294
1448,1.4471410970
1579,1.5607382246
1722,1.6237686216
1878,1.9481190133
2048,2.3587374197
2233,2.4338772716
2435,2.5985527843
2655,3.1787637172
2896,3.4698303371
3158,3.8602679332
3444,4.0042434553
3756,3.8255689503
4096,4.0256793455
4466,4.0370775306
4870,3.8937734305
5311,3.9990913681
5792,3.9777389470
6316,4.0011357263
6888,4.0787678870
7512,4.0671405648
8192,4.1312549545
8933,4.0862087134
9741,4.0105048138
10623,4.1034223568
11585,4.0652498675
12633,4.0691972371
